6.6772e+07,-3.4943e+07,-3.2199e+07,27782,-13460,-14668
6.6801e+07,-3.2214e+07,-3.5077e+07,27265,-12252,-15358
6.6594e+07,-2.9233e+07,-3.782e+07,27437,-10871,-16048
6.6371e+07,-2.6148e+07,-4.049e+07,26747,-10354,-17256
6.5911e+07,-2.3093e+07,-4.3175e+07,25884,-8800.6,-17946
6.5363e+07,-1.9978e+07,-4.5548e+07,25539,-7420.1,-18982
6.4428e+07,-1.6878e+07,-4.7891e+07,25366,-6039.6,-19327
6.3523e+07,-1.3749e+07,-5.019e+07,25194,-4831.7,-20190
6.2441e+07,-1.0486e+07,-5.2163e+07,24331,-3278.6,-21570
6.1061e+07,-7.1488e+06,-5.415e+07,23813,-2243.3,-22260
5.9504e+07,-3.8265e+06,-5.587e+07,23468,172.56,-22951
5.7843e+07,-5.4877e+05,-5.7517e+07,22605,1725.6,-23813
5.6093e+07,2.7438e+06,-5.9e+07,21915,3106.1,-24849
5.4076e+07,6.1551e+06,-6.0335e+07,20880,4314,-25711
5.191e+07,9.4329e+06,-6.1521e+07,19844,5867,-26229
4.973e+07,1.2651e+07,-6.2619e+07,19499,7765.2,-26919
4.755e+07,1.5885e+07,-6.3612e+07,18291,9318.3,-27092
4.5221e+07,1.9207e+07,-6.4547e+07,17083,10181,-27955
4.2804e+07,2.2351e+07,-6.5303e+07,15876,11734,-28127
4.0253e+07,2.5466e+07,-6.5748e+07,15185,12769,-27782
3.7613e+07,2.8551e+07,-6.6223e+07,14322,14150,-27610
3.4943e+07,3.1562e+07,-6.6594e+07,12769,15185,-27437
3.2125e+07,3.4513e+07,-6.6727e+07,11734,15876,-27610
2.9277e+07,3.7405e+07,-6.6668e+07,10354,16393,-27437
2.6193e+07,4.0238e+07,-6.646e+07,9835.9,17774,-26919
2.3137e+07,4.2937e+07,-6.6104e+07,8628,18464,-25884
2.0141e+07,4.5503e+07,-6.5541e+07,7420.1,18982,-26402
1.6982e+07,4.7876e+07,-6.4784e+07,5694.5,19672,-25711
1.3838e+07,5.019e+07,-6.3924e+07,4486.6,21052,-25194
1.0708e+07,5.24e+07,-6.2841e+07,3278.6,21743,-24158
7.5344e+06,5.4387e+07,-6.1477e+07,1898.2,22778,-23986
4.2418e+06,5.6226e+07,-5.9979e+07,172.56,23296,-23641
9.6405e+05,5.7888e+07,-5.8347e+07,-1725.6,24158,-22605
-2.2692e+06,5.9445e+07,-5.6582e+07,-2761,25711,-21915
-5.636e+06,6.0869e+07,-5.4728e+07,-4141.4,26229,-21052
-8.8693e+06,6.2085e+07,-5.2667e+07,-5694.5,26919,-20362
-1.2058e+07,6.3182e+07,-5.0487e+07,-6902.4,27782,-19154
-1.5232e+07,6.4132e+07,-4.8366e+07,-8800.6,28300,-18982
-1.8317e+07,6.514e+07,-4.6052e+07,-10008,28818,-17429
-2.1639e+07,6.5911e+07,-4.3753e+07,-11044,28990,-16738
-2.4665e+07,6.649e+07,-4.1158e+07,-12769,28645,-15876
-2.7572e+07,6.689e+07,-3.8607e+07,-13632,28818,-14840
-3.0597e+07,6.732e+07,-3.6011e+07,-14668,28472,-13460
-3.3445e+07,6.7558e+07,-3.3326e+07,-15530,28472,-12252
-3.6278e+07,6.7484e+07,-3.0479e+07,-16221,28127,-11562
-3.9007e+07,6.7291e+07,-2.7498e+07,-17429,27610,-10181
-4.1706e+07,6.6964e+07,-2.4413e+07,-18119,27265,-8800.6
-4.4331e+07,6.6416e+07,-2.1446e+07,-18637,27437,-7247.5
-4.6586e+07,6.5659e+07,-1.8317e+07,-19499,26574,-6212.2
-4.8914e+07,6.4829e+07,-1.5128e+07,-20362,25884,-5176.8
-5.1139e+07,6.3894e+07,-1.2028e+07,-21397,25194,-3796.3
-5.3052e+07,6.2648e+07,-8.9138e+06,-21743,25021,-2243.3
-5.4847e+07,6.118e+07,-5.636e+06,-22260,25021,-690.24
-5.6508e+07,5.9623e+07,-2.3137e+06,-23296,23986,517.68
-5.8199e+07,5.7932e+07,8.3057e+05,-24849,23123,2070.7
-5.9578e+07,5.6093e+07,4.1677e+06,-25021,22605,3623.8
-6.0809e+07,5.4031e+07,7.5493e+06,-25711,21570,5349.4
-6.1981e+07,5.191e+07,1.0605e+07,-26402,20880,6729.8
-6.3019e+07,4.9789e+07,1.3853e+07,-27437,19844,7765.2
-6.3939e+07,4.7505e+07,1.6938e+07,-27610,18464,9318.3
-6.4814e+07,4.5192e+07,2.0156e+07,-27782,18119,10526
-6.5377e+07,4.2745e+07,2.3241e+07,-27955,16911,11907
-6.5897e+07,4.0164e+07,2.6133e+07,-27955,15703,12769
-6.6341e+07,3.7613e+07,2.9233e+07,-27955,14495,13632
